# 感染拡大前比	東京都 立川駅	東京都 銀座	東京都 東京駅南	東京都 新宿駅	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/08/28	-13.8857142857143	-20.3142857142857	-27.4428571428571	-25.1714285714286	-33.9428571428571	-32.7285714285714	-35.7142857142857	-28.6	-47.2142857142857	-43.1428571428571	-47.9142857142857	-56.2857142857143
2020/08/29	-14.2428571428571	-20.1571428571429	-27.2571428571429	-24.6	-33.7714285714286	-32.3285714285714	-36.1428571428571	-28.4714285714286	-46.9428571428571	-43.0142857142857	-47.3142857142857	-56.0142857142857
2020/08/30	-13.9285714285714	-19.8	-26.7285714285714	-23.7857142857143	-33.4714285714286	-31.6285714285714	-36.7857142857143	-27.9857142857143	-46.7	-43.0142857142857	-47.1	-55.9428571428571
2020/08/31	-12.9714285714286	-19.1285714285714	-25.8714285714286	-22.9285714285714	-32.9428571428571	-32.1571428571429	-37.0142857142857	-27.4571428571429	-46.5142857142857	-42.5142857142857	-46.1571428571429	-55.8
2020/09/01	-12.9285714285714	-19.0285714285714	-25.4714285714286	-22.4428571428571	-32.4714285714286	-31.9	-36.4142857142857	-27.3428571428571	-46.2285714285714	-41.6	-45.4857142857143	-55.4714285714286
2020/09/02	-12.7857142857143	-18.5285714285714	-25.0857142857143	-22.2142857142857	-32.2571428571429	-31.5571428571429	-36.5285714285714	-27.5142857142857	-45.8428571428571	-41.4714285714286	-45.7571428571429	-55.2
2020/09/03	-12.9571428571429	-18.4	-24.9714285714286	-22.1285714285714	-32.2142857142857	-31.2714285714286	-35.9428571428571	-27.7571428571429	-45.5571428571429	-41.5428571428571	-45.8571428571429	-54.8714285714286
2020/09/04	-12.9	-18.2	-24.8	-21.9428571428571	-32.1	-30.8142857142857	-35.5714285714286	-27.7857142857143	-45.2857142857143	-41.2571428571429	-46.1714285714286	-54.7428571428571
2020/09/05	-13.1857142857143	-17.8857142857143	-24.7571428571429	-22.0285714285714	-31.8428571428571	-30.4857142857143	-35.2857142857143	-27.8857142857143	-44.9285714285714	-41.2428571428571	-47.0142857142857	-54.5857142857143
2020/09/06	-13.3285714285714	-17.7571428571429	-24.5714285714286	-22.1	-31.8142857142857	-29.5571428571429	-34.4714285714286	-27.6142857142857	-44.5428571428571	-41.1	-47.2142857142857	-54.6428571428571
2020/09/07	-13.8	-17.9428571428571	-24.6714285714286	-21.7571428571429	-31.7857142857143	-28.9285714285714	-35.2285714285714	-27.3	-44.1428571428571	-41.1142857142857	-48.2857142857143	-54.4857142857143
2020/09/08	-14.1571428571429	-17.8142857142857	-24.8	-21.8142857142857	-31.8571428571429	-28.5	-36.7714285714286	-27.7428571428571	-44.2285714285714	-41.4714285714286	-50.1285714285714	-54.6
2020/09/09	-14.1	-17.8571428571429	-24.8714285714286	-21.6142857142857	-31.9	-28.4	-36.5285714285714	-27.6	-44.3	-41.3428571428571	-49.9857142857143	-54.6857142857143
2020/09/10	-13.8714285714286	-17.6428571428571	-24.6857142857143	-21.1571428571429	-31.5857142857143	-28.2142857142857	-37.0142857142857	-27.0714285714286	-44.2571428571429	-41.3714285714286	-49.9857142857143	-54.7428571428571
