John Hopkins,WHO,Coutnry,Pop,,,,,
Saudi Arabia,Guernsey [1],Nepal,28608700,,,,,
Senegal,Guinea,Netherlands,17097100,,,,,
Serbia,Guinea Democratic Republic,New Caledonia,282800,,,,,
Seychelles,Guinea-Bissau,New Zealand,4783100,,,,,
Sierra Leone,Guyana,Nicaragua,6545500,,,,,
Singapore,Haiti,Niger,23310700,,,,,
Slovakia,Herzegovina,Nigeria,200963600,,,,,
Slovenia,Herzegovina Luxembourg,Niue,1600,,,,,
Somalia,Holy See,North Macedonia,2083500,,,,,
South Africa,Honduras,Northern Mariana Islands,57200,,,,,
South Sudan,Honduras Bolivia (Plurinational,Norway,5378900,,,,,
Spain,Honduras Venezuela (Bolivarian,Oman,4975000,,,,,
Sri Lanka,Hungary,Pakistan,216565300,,,,,
Sudan,Iceland,Palau,18000,,,,,
Suriname,India,Panama,4246400,,,,,
Sweden,Indonesia,Papua New Guinea,8776100,,,,,
Switzerland,Indonesia transmission,Paraguay,7044600,,,,,
Syria,International,Peru,32510500,,,,,
Taiwan*,International conveyance,Philippines,108116600,,,,,
Tanzania,International conveyance (Diamond,Poland,37887800,,,,,
Thailand,International conveyance (Diamond Princess),Portugal,10226200,,,,,
Timor-Leste,International conveyance ‡,Puerto Rico,2933400,,,,,
Togo,Iran,Qatar,2832100,,,,,
Trinidad and Tobago,Iraq,Republic of Korea,51225300,Korea- South,,,,
Tunisia,Iraq §§,Republic of Moldova,4043300,Moldova,,,,
Turkey,Ireland,R?union,888900,,,,,
Uganda,Islands,Romania,19364600,,,,,
Ukraine,Islands(Commonwealth of the),Russian Federation,145872300,Russia,,,,
United Arab Emirates,Isle of Man,Rwanda,12627000,,,,,
United Kingdom,Israel,Saint Barth?lemy,9800,,,,,
Uruguay,Italy,Saint Helena,6100,,,,,
US,Jamaica,Saint Kitts and Nevis,52800,,,,,
Uzbekistan,Jamaica Saint Vincent and the,Saint Lucia,182800,,,,,
Venezuela,Japan,Saint Martin (French part),38000,,,,,
Vietnam,Jersey,Saint Pierre and Miquelon,5800,British Virgin Islands Saint Pierre and,,,,
West Bank and Gaza,Jordan,Saint Vincent & Grenadines,110600,Saint Vincent and the Grenadines,Grenadines,,,
Western Sahara,Kazakhstan,Samoa,197100,,,,,
Yemen,Kenya,San Marino,33900,,,,,
Zambia,Kingdom,Sao Tome and Principe,215100,,,,,
Zimbabwe,Kosovo,Saudi Arabia,34268500,,,,,
,Kosovo transmission,Senegal,16296400,,,,,
,Kosovo[1],Serbia,8772200,,,,,
,Kosovo[1] 449,Seychelles,97700,,,,,
,Kuwait,Sierra Leone,7813200,,,,,
,Kyrgyzstan,Singapore,5804300,,,,,
,Lao People's Democratic Republic,Sint Maarten (Dutch part),42400,,,,,
,Lao People’s Democratic Republic,Slovakia,5457000,,,,,
,Latvia,Slovenia,2078700,,,,,
,Latvia Bosnia and,Solomon Islands,669800,,,,,
,Lebanon,Somalia,15442900,,,,,
,Liberia,South Africa,58558300,,,,,
,Liberia United Republic of,South Sudan,11062100,,,,,
,Libya,Spain,46736800,,,,,
,Liechtenstein,Sri Lanka,21323700,,,,,
,Lithuania,State of Palestine,4981400,,,,,
,Luxembourg,Sudan,42813200,,,,,
,Luxembourg Bosnia and,Suriname,581400,,,,,
,Madagascar,Sweden,10036400,,,,,
,Malawi,Switzerland,8591400,,,,,
,Malawi Central African,Syrian Arab Republic,17070100,Syria,,,,
,Malaysia,Tajikistan,9321000,,,,,
,Maldives,Thailand,69625600,,,,,
,Mali,Timor-Leste,1293100,,,,,
,Malta,Togo,8082400,,,,,
,Malta Bosnia and,Tokelau,1300,,,,,
,Martinique,Tonga,104500,,,,,
,Mauritania,Trinidad and Tobago,1395000,,,,,
,Mauritania São Tomé and,Tunisia,11694700,,,,,
,Mauritius,Turkey,83429600,,,,,
,Mauritius Democratic Republic,Turkmenistan,5942100,,,,,
,Mayotte,Turks and Caicos Islands,38200,British Virgin Islands Turks and Caicos,,,,
,Mexico,Tuvalu,11600,,,,,
,Mexico transmission,Uganda,44269600,,,,,
,Miquelon,Ukraine,43993600,,,,,
,Monaco,United Arab Emirates,9770500,,,,,
,Mongolia,United Kingdom,67530200,Kingdom,,,,
,Mongolia Lao People's,United Rep. of Tanzania,58005500,Tanzania,,,,
,Montenegro,United States of America,329064900,US,USA,,,
,Montserrat,United States Virgin Islands,104600,,,,,
,Montserrat Turks and Caicos,Uruguay,3461700,,,,,
,Morocco,Uzbekistan,32981700,,,,,
,Mozambique,Vanuatu,299900,,,,,
,Mozambique Central African,Venezuela (Boliv. Rep. of),28515800,Venezuela,,,,
,Myanmar,Viet Nam,96462100,Vietnam,,,,
,Namibia,Wallis and Futuna Islands,11400,,,,,
,Nepal,Western Sahara,582500,,,,,
,Netherlands,Yemen,29161900,,,,,
,New Caledonia,Zambia,17861000,,,,,
,New Caledonia Northern Mariana,Zimbabwe,14645500,,,,,
,New Zealand,Kosovo,180500000,Kosovo transmission,Kosovo[1],Kosovo[1] 449,,
,Nicaragua,Taiwan,23600903,Taiwan*,,,,
,Niger,Diamond Princess,2666,,,,,
,Nigeria,MS Zaandam,2000, Zaandam�K��,,,,
,Nigeria Central African,West Bank and Gaza,2697687,,,,,
,Nigeria Democratic Republic,,,,,,,
,North Macedonia,,,,,,,
,Northern Mariana Islands,,,,,,,
,Norway,,,,,,,
,occupied Palestinian territory,,,,,,,
,Occupied Palestinian Territory,,,,,,,
,occupied Palestinian Territory,,,,,,,
,of the Congo,,,,,,,
,Oman,,,,,,,
,Pakistan,,,,,,,
,Panama,,,,,,,
,Panama transmission,,,,,,,
,Papua New Guinea,,,,,,,
,Paraguay,,,,,,,
,Paraguay Bolivia (Plurinational,,,,,,,
,Paraguay transmission,,,,,,,
,Peru,,,,,,,
,Peru transmission,,,,,,,
,Philippines,,,,,,,
,Poland,,,,,,,
,Portugal,,,,,,,
,Príncipe,,,,,,,
,Puerto Rico,,,,,,,
,Qatar,,,,,,,
,Republic,,,,,,,
,Republic of Korea,,,,,,,
,Republic of Moldova,,,,,,,
,Republic of),,,,,,,
,Republic of) Bolivia (Plurinational,,,,,,,
,Romania,,,,,,,
,Russian Federation,,,,,,,
,Rwanda,,,,,,,
,Réunion,,,,,,,
,Saint Barthelemy,,,,,,,
,Saint Barthelemy Falkland Islands,,,,,,,
,Saint Barthélemy,,,,,,,
,Saint Barthélemy Falkland Islands,,,,,,,
,Saint Barthélemy Turks and Caicos,,,,,,,
,Saint Kitts and Nevis,,,,,,,
,Saint Kitts and Nevis Saint Vincent and the,,,,,,,
,Saint Lucia,,,,,,,
,Saint Martin,,,,,,,
,Saint Pierre and Miquelon,,,,,,,
,Saint Vincent and the Grenadines,,,,,,,
,San Marino,,,,,,,
,San Marino transmission,,,,,,,
