# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 横浜駅	神奈川県 川崎駅	千葉県 千葉駅	千葉県 船橋駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	埼玉県 大宮駅西	東京都 東京駅南	東京都 新宿駅	栃木県 宇都宮駅	神奈川県 みなとみらい	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/06/07	-23.3285714285714	-23.6142857142857	-13.3	-15.5285714285714	-19.0857142857143	-23.8285714285714	-28.8571428571429	-18.2428571428571	-18.9	-28.5285714285714	-47.3142857142857	-32.4857142857143	-28.8	-44.3285714285714	-56.3142857142857	-43.5714285714286	-57.2571428571429	-40.6	-53.2428571428571	-51.1857142857143	-64.5285714285714	-53.6571428571429
2020/06/08	-22.6857142857143	-20.6714285714286	-11.2285714285714	-13.8285714285714	-18.4428571428571	-21.3857142857143	-26.8428571428571	-16.8428571428571	-17.1857142857143	-24.9285714285714	-45.5285714285714	-29.7142857142857	-27.8	-43.0285714285714	-54.3285714285714	-42.0571428571429	-56.2714285714286	-38.5714285714286	-52.0857142857143	-50.5285714285714	-63.1571428571429	-52.2571428571429
2020/06/09	-22.5	-19.5857142857143	-11	-13.5571428571429	-17.5	-20.3571428571429	-26.9	-17.0142857142857	-17.2142857142857	-23.7142857142857	-45.0285714285714	-28.8857142857143	-26.7714285714286	-42.9428571428571	-54.1142857142857	-41.7	-57.1857142857143	-38.3142857142857	-52.1571428571429	-50.8428571428571	-63.2714285714286	-52.3142857142857
2020/06/10	-23.3571428571429	-18.7714285714286	-10.7857142857143	-13.1857142857143	-17.2	-19.1142857142857	-26.5857142857143	-17.1	-16.9714285714286	-22.2	-44.8571428571429	-28.0428571428571	-26.2	-43	-53.8428571428571	-41.2	-56.3428571428571	-37.9285714285714	-51.9	-50.7428571428571	-63.3428571428571	-52.0428571428571
2020/06/11	-23.2857142857143	-18.2285714285714	-10.3	-12.6285714285714	-15.9428571428571	-19.0571428571429	-26.3285714285714	-17.1285714285714	-16.8428571428571	-22.0714285714286	-44.7	-27.8	-26.4285714285714	-42.8	-53.5571428571429	-40.6428571428571	-55.8285714285714	-37.2142857142857	-51.6285714285714	-50.5285714285714	-62.8714285714286	-51.7285714285714
2020/06/12	-24.1857142857143	-17.5857142857143	-10.0571428571429	-11.9857142857143	-16.1142857142857	-19.1571428571429	-26.0714285714286	-17.0142857142857	-17.2	-21.7857142857143	-44.4428571428571	-27.7	-26.6571428571429	-42.7	-53.2714285714286	-40.2	-55.1	-37.0428571428571	-51.3428571428571	-50.3714285714286	-62.6714285714286	-51.3571428571429
2020/06/13	-24.3	-16.7857142857143	-9.97142857142857	-11.9285714285714	-15.8714285714286	-19.1428571428571	-26.0714285714286	-16.9142857142857	-16.5142857142857	-21.3857142857143	-44.1428571428572	-27.3285714285714	-26.1714285714286	-42.0571428571429	-52.8714285714286	-39.9571428571429	-54.4714285714286	-36.7428571428571	-51.1714285714286	-50.2714285714286	-62.7571428571429	-51.1285714285714
2020/06/14	-24.7571428571429	-15.9285714285714	-9.77142857142857	-11.2	-15.6285714285714	-18.8857142857143	-26.0571428571429	-16.2	-15.9285714285714	-21.4571428571429	-44.1285714285714	-27.1285714285714	-26.1571428571429	-41.6142857142857	-52.4571428571429	-39.7	-53.4571428571429	-36.7857142857143	-50.7285714285714	-50.3428571428571	-62.7714285714286	-50.5
2020/06/15	-24.8714285714286	-14.9571428571429	-8.97142857142857	-10.9285714285714	-15.3285714285714	-18.6142857142857	-25.7	-15.8857142857143	-15.7428571428571	-20.6714285714286	-43.5714285714286	-26.5428571428571	-25.2	-41.1428571428571	-52.4571428571429	-39.6	-53.3	-35.9857142857143	-50.5571428571429	-49.8571428571429	-61.8428571428571	-49.8
2020/06/16	-24.9857142857143	-14.2428571428571	-8.57142857142857	-9.47142857142857	-15.1571428571429	-17.8	-25.2857142857143	-15.3571428571429	-15.0428571428571	-20.2142857142857	-43.4142857142857	-26.0571428571429	-25.0857142857143	-40.6	-52.1428571428571	-39.3571428571429	-52.5428571428572	-35.4714285714286	-50.1857142857143	-49.2571428571429	-61.6571428571429	-49.4285714285714
